ID,SHORT NAME,URL,,,,
14013115136,Verify GBe/LAN PHY revision is displayed correctly in BIOS Setup,https://hsdes.intel.com/appstore/article/#/14013115136,,,,
14013115489,"Verify Board ID, FW, BIOS, ME, EC and IGFX GOP details on BIOS Platform Information Menu  and System scope tool are accurate",https://hsdes.intel.com/appstore/article/#/14013115489,,,,
14013118756,Verify Onboard Network functionality in EFI shell,https://hsdes.intel.com/appstore/article/#/14013118756,,,,
14013119776,Verify stability of SUT by hot swapping AC/DC power supply,https://hsdes.intel.com/appstore/article/#/14013119776,,,,
14013120845,SMBIOS Type 17 Structure,https://hsdes.intel.com/appstore/article/#/14013120845,,,,
14013121133,Verify system wakes from idle state successfully via Keyboard,https://hsdes.intel.com/appstore/article/#/14013121133,,,,
14013156894,Validate the number of CPU Core enumeration under OS,https://hsdes.intel.com/appstore/article/#/14013156894,,,,
14013157057,Validate the CPU processor info listed in BIOS,https://hsdes.intel.com/appstore/article/#/14013157057,,,,
14013157534,Verify C-states (_CST) gets defined as part of ACPI dump,https://hsdes.intel.com/appstore/article/#/14013157534,,,,
14013157755,Validate concurrent support of USB3DbC and USB2Dbc,https://hsdes.intel.com/appstore/article/#/14013157755,,,,
14013157779,"Verify No device yellow bangs post warm boot cycles with all device connected as per config planned ( Golden, delta, 5, 4, 3 STAR )",https://hsdes.intel.com/appstore/article/#/14013157779,,,,
14013157801,Verify system stability post Sx/S0ix-cycling via Cycling Tools,https://hsdes.intel.com/appstore/article/#/14013157801,,,,
14013157808,Validate network functionality post Sx cycles,https://hsdes.intel.com/appstore/article/#/14013157808,,,,
14013158056,Verify Power Button Functionality in AC and DC,https://hsdes.intel.com/appstore/article/#/14013158056,,,,
14013158105,Verify 4K Display Monitor functionality over USB type-C port,https://hsdes.intel.com/appstore/article/#/14013158105,,,,
14013158143,"Verify audio switching between On-board, 3.5mm jack and HDMI speakers",https://hsdes.intel.com/appstore/article/#/14013158143,,,,
14013158189,Validate Low Power Audio (LPA) test with 3.5mm Jack speaker,https://hsdes.intel.com/appstore/article/#/14013158189,,,,
14013158271,Verify system stability on performing Connected Modern Standby cycle pre and post Hibernate cycle,https://hsdes.intel.com/appstore/article/#/14013158271,,,,
14013158280,Verify TBT Boot to OS functionality using Legacy USB device over TBT port,https://hsdes.intel.com/appstore/article/#/14013158280,,,,
14013158468,Verify DP display functionality over USB Type-C port during Pre and Post boot,https://hsdes.intel.com/appstore/article/#/14013158468,,,,
