,TCD_ID,DESCRIPTION,URL,STATUS,Test_Complexity,Test_Coverage_Level
0,14013179011,Verify _DSD method for D3 enable/disable in VMD scope,https://hsdes.intel.com/appstore/article/#/14013179011,,Medium,L3 Extended-BAT-FV
1,14013161657,Verify BIOS have ability to enable and disable Wake on WLAN,https://hsdes.intel.com/appstore/article/#/14013161657,,Medium,L3 Extended-BAT-FV
2,14013157679,Verify Bios programs power management configuration registers correctly,https://hsdes.intel.com/appstore/article/#/14013157679,,Low,L3 Extended-BAT-FV
3,14013176305,Verify Enable/Disable ICC Watchdog Timer (WDT) option in BIOS,https://hsdes.intel.com/appstore/article/#/14013176305,,Low,L3 Extended-BAT-FV
4,14013164275,Verify system stability after S3 and S4 cycles using LAN connect over Foxville Port as wake source.,https://hsdes.intel.com/appstore/article/#/14013164275,,Low,L3 Extended-BAT-FV
5,14013176338,Verify BIOS configures Power management events(PME) Support when PCIe bus is in non Native mode,https://hsdes.intel.com/appstore/article/#/14013176338,,Low,L3 Extended-BAT-FV
6,14013185587,Verify system attains responsiveness metrics with PTT enabled Corporate IFWI,https://hsdes.intel.com/appstore/article/#/14013185587,,High,L3 Extended-BAT-FV
7,14013118179,"Serial IO configuration options check for default, enable and disable in BIOS",https://hsdes.intel.com/appstore/article/#/14013118179,,High,L3 Extended-BAT-FV
8,14013180239,Verify if BIOS populates PCH Capability under SMBIOS table 131,https://hsdes.intel.com/appstore/article/#/14013180239,,Medium,L3 Extended-BAT-FV
9,14013165633,Verify SUT wakes from S3 using Touchpad,https://hsdes.intel.com/appstore/article/#/14013165633,,Low,L3 Extended-BAT-FV
10,14013184965,System stability test while performing Hybrid Sleep cycles with ongoing video playback,https://hsdes.intel.com/appstore/article/#/14013184965,,Low,L4 Extended-FV
11,14013180228,Verify if BIOS populates Network Device - LAN capabilities under SMBIOS table 131,https://hsdes.intel.com/appstore/article/#/14013180228,,Medium,L4 Extended-FV
12,14013178960,Verify package C10 after hot-plugging and hot-unplugging NVMe SSD over PEG60 Slot,https://hsdes.intel.com/appstore/article/#/14013178960,,High,L3 Extended-BAT-FV
13,14013179192,Verify Dynamic Backbone Clock Gate is programmed per port,https://hsdes.intel.com/appstore/article/#/14013179192,,Low,L4 Extended-FV
14,16012845469,"Verify No Full MRC training, If Capsule update does not have MRC changes",https://hsdes.intel.com/appstore/article/#/16012845469,,Medium,L3 Extended-BAT-FV
15,14013165195,Verify Xml Cli should not expose Test Menu options for External Bios,https://hsdes.intel.com/appstore/article/#/14013165195,,Low,L3 Extended-BAT-FV
16,14013185100,Validate Hybrid Sleep Cycles with online video streaming,https://hsdes.intel.com/appstore/article/#/14013185100,,Medium,L4 Extended-FV
17,16013191789,Verify BIOS exposes non implemented FIVR Faults override knob,https://hsdes.intel.com/appstore/article/#/16013191789,,Low,L3 Extended-BAT-FV
18,14013177306,Verify ASPM and L1 substate Values in OS with NVMe remapping,https://hsdes.intel.com/appstore/article/#/14013177306,,High,L3 Extended-BAT-FV
