,TCD_ID,DESCRIPTION,URL,STATUS,Test_Complexity,Test_Coverage_Level
0,14013185826,"Validate USB 3.0 devices hot-plug functionality over USB3.0 Type-A port  pre and post S4 , S5 , warm and cold reboot cycles",https://hsdes.intel.com/appstore/article/#/14013185826,,Medium,L1 DailyCI-Basic-Sanity
1,14013185815,"Verify USB mouse enumeration and functionality on hot-plug over USB Type-A port pre and post S4 , S5 , warm and cold reboot cycles",https://hsdes.intel.com/appstore/article/#/14013185815,,Medium,L1 DailyCI-Basic-Sanity
2,14013185814,"Validate hot-plug USB keyboard functionality check in OS over USB Type-A port pre and post S4 , S5 , warm and cold reboot cycles",https://hsdes.intel.com/appstore/article/#/14013185814,,Medium,L1 DailyCI-Basic-Sanity
3,14013185689,"Verify Coexistence Support of CNVi Wi-Fi and Bluetooth functionality in OS after S3, S4, S5, Warm and cold reboot cycles",https://hsdes.intel.com/appstore/article/#/14013185689,,Low,L1 DailyCI-Basic-Sanity
4,14013185678,Verify CNVi enumeration in BIOS and EFI Shell with respect to CNVi option enabled/disabled in BIOS,https://hsdes.intel.com/appstore/article/#/14013185678,,Low,L1 DailyCI-Basic-Sanity
5,14013185086,Validate POST Code Progress for IA during Booting on 7 seg Display.,https://hsdes.intel.com/appstore/article/#/14013185086,,Low,L1 DailyCI-Basic-Sanity
6,14013184477,[TBT] Verify Thunderbolt Enumeration in device manager,https://hsdes.intel.com/appstore/article/#/14013184477,,Medium,L1 DailyCI-Basic-Sanity
7,14013184015,Validate USB3.0 HUB Functionality check in OS over USB Type-A port,https://hsdes.intel.com/appstore/article/#/14013184015,,Low,L1 DailyCI-Basic-Sanity
8,14013183460,Verify PCIe SD Card detection after plug and unplug in OS,https://hsdes.intel.com/appstore/article/#/14013183460,,Low,L1 DailyCI-Basic-Sanity
9,14013182446,Verify system stability post Sx  and Deep S4 cycling with RTD3 option enabled in BIOS,https://hsdes.intel.com/appstore/article/#/14013182446,,Low,L1 DailyCI-Basic-Sanity
10,14013182365,Verify that system boots to EDK shell,https://hsdes.intel.com/appstore/article/#/14013182365,,Low,L0 Check-in-CI
11,14013182314,Verify SUT boot from USB2.0 device,https://hsdes.intel.com/appstore/article/#/14013182314,,Low,L1 DailyCI-Basic-Sanity
12,14013180508,"Verify BIOS shall display ME,BIOS,KSC version in Bios setup page",https://hsdes.intel.com/appstore/article/#/14013180508,,Low,L1 DailyCI-Basic-Sanity
13,14013179255,"Verify basic boot check with different IFWI (Release, Performance and Debug)",https://hsdes.intel.com/appstore/article/#/14013179255,,Low,L1 DailyCI-Basic-Sanity
14,14013179118,"Verify CNVi WLAN Enumeration in OS pre and post S4 , S5 , warm and cold reboot cycles",https://hsdes.intel.com/appstore/article/#/14013179118,,Medium,L1 DailyCI-Basic-Sanity
15,14013179108,"Verify DP/mini DP panel display in BIOS Setup, EFI and OS",https://hsdes.intel.com/appstore/article/#/14013179108,,Low,L1 DailyCI-Basic-Sanity
16,14013179047,Verify USB devices information are displayed correctly in BIOS Setup and F7 Boot menu,https://hsdes.intel.com/appstore/article/#/14013179047,,Low,L1 DailyCI-Basic-Sanity
17,14013178130,Verify Dual Tau Feature writing MMIO values With cTDp & Non- cTDP  Part,https://hsdes.intel.com/appstore/article/#/14013178130,,Low,L1 DailyCI-Basic-Sanity
18,14013177940,Verify Audio DRM playback over 3.5mm-Jack-Headsets (via HD-A),https://hsdes.intel.com/appstore/article/#/14013177940,,Low,L1 DailyCI-Basic-Sanity
19,14013177652,Verify VTd support for PCIe ports,https://hsdes.intel.com/appstore/article/#/14013177652,,Low,L1 DailyCI-Basic-Sanity
20,14013176972,Verify setting Detect timeout value in BIOS and respective system halt with device not connected,https://hsdes.intel.com/appstore/article/#/14013176972,,Medium,L1 DailyCI-Basic-Sanity
21,14013176969,Verify setting Detect timeout value in BIOS and ensure no halt message in debug log with device connected,https://hsdes.intel.com/appstore/article/#/14013176969,,High,L1 DailyCI-Basic-Sanity
22,14013176281,"Verify SUT wake from Sx states (S3, S4, S5) using LAN",https://hsdes.intel.com/appstore/article/#/14013176281,,Medium,L0 Check-in-CI
23,14013176015,Verify Trace hub initialization in debug BIOS,https://hsdes.intel.com/appstore/article/#/14013176015,,Medium,L1 DailyCI-Basic-Sanity
24,14013175903,Verify plug & unplug USB hub over USB Type-A port,https://hsdes.intel.com/appstore/article/#/14013175903,,Low,L1 DailyCI-Basic-Sanity
25,14013173289,[FSP] Verify FSP BIOS Dispatch mode Boot Flow,https://hsdes.intel.com/appstore/article/#/14013173289,,Low,L1 DailyCI-Basic-Sanity
26,14013173287,[FSP] Verify FSP BIOS Boot Flow,https://hsdes.intel.com/appstore/article/#/14013173287,,Low,L1 DailyCI-Basic-Sanity
27,14013172940,Verify Type-C Connector reversibility functionality for Display over Type-C port,https://hsdes.intel.com/appstore/article/#/14013172940,,Medium,L1 DailyCI-Basic-Sanity
28,14013165299,Verify SLPS_S0 assertion before and after warm reboot cycle,https://hsdes.intel.com/appstore/article/#/14013165299,,Low,L1 DailyCI-Basic-Sanity
29,14013163508,"Verify  System Boot and respective MMIO register value with  ""Dual Tau Boost"" option Enabled",https://hsdes.intel.com/appstore/article/#/14013163508,,Low,L1 DailyCI-Basic-Sanity
30,14013163310,Verify system stability on performing 5 cycles of Hybrid Sleep,https://hsdes.intel.com/appstore/article/#/14013163310,,Low,L1 DailyCI-Basic-Sanity
31,14013161312,Verify Connected MoS entry/exit using power button/Timer option,https://hsdes.intel.com/appstore/article/#/14013161312,,Low,L1 DailyCI-Basic-Sanity
32,14013160932,Verify SoC crash dump and crash logging,https://hsdes.intel.com/appstore/article/#/14013160932,,Medium,L1 DailyCI-Basic-Sanity
33,14013160910,"Verify USB devices information are displayed in F7 boot menu, connected over Type-C port",https://hsdes.intel.com/appstore/article/#/14013160910,,Low,L1 DailyCI-Basic-Sanity
34,14013160880,"Verify SUT wake from S3, S4 using PCIE LAN devices (WOL)",https://hsdes.intel.com/appstore/article/#/14013160880,,Low,L1 DailyCI-Basic-Sanity
35,14013160109,ME FW response and version check in EFI Shell,https://hsdes.intel.com/appstore/article/#/14013160109,,Low,L0 Check-in-CI
36,14013159080,Verify TBT3 enumeration of storage and display devices on hot plug and connector reversibility,https://hsdes.intel.com/appstore/article/#/14013159080,,Medium,L1 DailyCI-Basic-Sanity
37,14013159073,Verify system can be shutdown from EDK shell,https://hsdes.intel.com/appstore/article/#/14013159073,,Low,L1 DailyCI-Basic-Sanity
38,14013158399,Verify DP display & USB Keyboard functionality over USB Type-C port during Pre and Post boot,https://hsdes.intel.com/appstore/article/#/14013158399,,Medium,L1 DailyCI-Basic-Sanity
39,14013158298,Verify TBT Boot to OS functionality using Thunderbolt 3 SSD,https://hsdes.intel.com/appstore/article/#/14013158298,,High,L1 DailyCI-Basic-Sanity
40,14013158105,Verify 4K Display Monitor functionality over USB type-C port,https://hsdes.intel.com/appstore/article/#/14013158105,,Low,L1 DailyCI-Basic-Sanity
41,14013157654,[Hybrid]Verify that BIOS can have active processor cores with Hyper Threading (SMT) enabled in [Octa Big Core + Octa Small Core] SKUs with and without all Small cores disabled,https://hsdes.intel.com/appstore/article/#/14013157654,,High,L1 DailyCI-Basic-Sanity
42,14013157616,[Hybrid]Verify 3D benchmark tool  on Hybrid Processor When Big and Small core is Enabled and Hyper-Threading is  Disabled,https://hsdes.intel.com/appstore/article/#/14013157616,,Low,L1 DailyCI-Basic-Sanity
43,14013157614,"[Hybrid]Verify core and thread in  BIOS/EFI , when core 1 and All core is enabled",https://hsdes.intel.com/appstore/article/#/14013157614,,Low,L1 DailyCI-Basic-Sanity
44,14013157613,[Hybrid]Verify 3D benchmark tool  on Hybrid Processor When Big is Disabled/1 and Small Cores is Enabled,https://hsdes.intel.com/appstore/article/#/14013157613,,Low,L1 DailyCI-Basic-Sanity
45,14013157611,[Hybrid]Verify 3D benchmark tool  on Hybrid Processor When Big is enabled and Small Cores is disabled,https://hsdes.intel.com/appstore/article/#/14013157611,,Low,L1 DailyCI-Basic-Sanity
46,14013157608,[Hybrid]Verify 3D benchmark tool  on Hybrid Processor When Big and Small Cores are enabled,https://hsdes.intel.com/appstore/article/#/14013157608,,Low,L1 DailyCI-Basic-Sanity
47,14013157601,[Hybrid]Verify that BIOS can have active processor cores with Hyper Threading (SMT) enabled in [Dual Big Core+Octa Small cores] SKUs with Small cores and Big Core is enabled (2C+8A),https://hsdes.intel.com/appstore/article/#/14013157601,,Low,L1 DailyCI-Basic-Sanity
